Protein_id,Protein_description,Gene_name,hrp_1,hrp_2,h2o2_1,h2o2_2,t4_1,t4_2,t5_1,t5_2,signal_ratio,fp,tp,tpr,fpr,tpr_fpr,fdr
3579,"MIP27349p1;Uncharacterized protein, isoform G;Uncharacterized protein, isoform I;GH09530p",CG1726;CG1735;CG32521-RA,6.3343,4.0531,5.3954,4.2084,5.9403,5.9565,6.1171,6.4479,2.064,0,0,0.0,0.0,0.0,0.0
FBgn0025680,Cryptochrome-1,cry,5.4992,4.6445,6.3053,5.9487,6.0426,6.0921,6.3776,5.733,1.7331000000000003,1,0,0.0,0.0015432098765432098,-0.0015432098765432098,0.0008771929824561404
3583,Phosphomannomutase,Pmm2,5.8478,5.1697,4.3256,5.8483,5.6635,5.5449,6.6312,5.3812,1.4615,0,0,0.0,0.0015432098765432098,-0.0015432098765432098,0.0008771929824561404
3200,"Mitochondrial fission 1 protein;Mitochondrial fission 1 protein, Isoform E;Mitochondrial fission 1 protein, Isoform D;Mitochondrial fission 1 protein, Isoform A",Fis1,5.7781,4.5548,4.8566,6.4947,6.5413,6.4692,6.0158,6.1668,1.4609999999999994,0,0,0.0,0.0015432098765432098,-0.0015432098765432098,0.0008771929824561404
1971,IP04044p (Fragment);DUF4794 domain-containing protein,CG13239;Dmel\CG13239,6.7815,6.0088,6.4457,6.3762,5.6609,6.2164,7.2957,7.1717,1.2869000000000002,0,0,0.0,0.0015432098765432098,-0.0015432098765432098,0.0008771929824561404
FBgn0033658,Tweedlebeta;FI17113p1 (Fragment);RE14272p,GCR(ich);Twdlbeta;TwdlBeta-RA;TwdlE;TwdlT,7.6652,6.9057,7.2549,7.089,6.5455,6.784,8.1701,8.1295,1.2643999999999993,0,1,0.0020325203252032522,0.0015432098765432098,0.0004893104486600425,0.0008771929824561404
FBgn0033307,MIP13653p,Dmel\CG14752,7.8906,7.1687,7.6232,7.4261,6.713,7.0821,8.4024,8.2789,1.2336999999999998,0,0,0.0020325203252032522,0.0015432098765432098,0.0004893104486600425,0.0008771929824561404
FBgn0036594,Uncharacterized protein,Dmel\CG13047,6.1346,5.2734,5.6594,5.5021,5.349,5.3044,6.4314,6.5164,1.1580000000000004,0,0,0.0020325203252032522,0.0015432098765432098,0.0004893104486600425,0.0008771929824561404
FBgn0039217,"Uncharacterized protein, isoform C;RE33368p;RE32656p;FI21478p1;Uncharacterized protein, isoform A",CG13627;Dmel\CG13627,6.3963,5.65,5.974,5.6659,5.578,5.6395,6.7623,6.8107,1.1122999999999994,0,0,0.0020325203252032522,0.0015432098765432098,0.0004893104486600425,0.0008771929824561404
2963,5'-3' exoribonuclease;5'-3' exoribonuclease 2 homolog,Rat1,6.0772,4.8985,6.5093,6.0557,6.2685,6.3493,6.0069,5.7803,1.1083999999999996,0,0,0.0020325203252032522,0.0015432098765432098,0.0004893104486600425,0.0008771929824561404
3326,"Gprs, isoform B;Serine-enriched protein;CG18471 (Fragment)",gprs,5.519,5.5283,5.5097,5.5757,5.9605,5.7004,6.6355,5.673,1.1072000000000006,0,0,0.0020325203252032522,0.0015432098765432098,0.0004893104486600425,0.0008771929824561404
FBgn0085228,IP16948p (Fragment);HDC07468,;Dmel\CG34199,6.1902,5.3565,5.4463,5.3093,4.8798,5.0841,6.4504,6.4755,1.0939000000000005,0,1,0.0040650406504065045,0.0015432098765432098,0.0025218307738632947,0.0008771929824561404
FBgn0003065,GCR 1 protein;RE35358p,GCR 1;GCR1,7.1624,6.6525,6.9077,6.4975,6.3945,6.4068,7.7446,7.6765,1.0921000000000003,0,0,0.0040650406504065045,0.0015432098765432098,0.0025218307738632947,0.0008771929824561404
3340,"Dystrophin, isoform D",Dys,5.9204,4.8801,4.6743,5.6605,6.3849,6.4384,5.957,6.0902,1.0769000000000002,0,0,0.0040650406504065045,0.0015432098765432098,0.0025218307738632947,0.0008771929824561404
