Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
tr|A0A0B4JCS5|A0A0B4JCS5_DROME,Extracellular,Signal peptide,0.10700000077486038,0.04450000077486038,0.9526000022888184,0.11110000312328339,0.05009999871253967,0.03139999881386757,0.1754000037908554,0.14589999616146088,0.09799999743700027,0.006800000090152025
tr|A0A0B4KEZ3|A0A0B4KEZ3_DROME,Extracellular,Signal peptide,0.1932000070810318,0.04320000112056732,0.9207000136375427,0.13189999759197235,0.04360000044107437,0.03849999979138374,0.2085999995470047,0.3248000144958496,0.23420000076293945,0.0038999998942017555
tr|A0A0B4KFH2|A0A0B4KFH2_DROME,Extracellular,Signal peptide,0.14749999344348907,0.08919999748468399,0.9031999707221985,0.18870000541210175,0.0674000009894371,0.014800000004470348,0.21979999542236328,0.24330000579357147,0.09290000051259995,0.0013000000035390258
tr|A0A0B4KH11|A0A0B4KH11_DROME,Extracellular,Signal peptide,0.12240000069141388,0.0632999986410141,0.8762000203132629,0.17010000348091125,0.03229999914765358,0.03720000013709068,0.32010000944137573,0.21580000221729279,0.18440000712871552,0.0012000000569969416
tr|A0A0B4KHZ4|A0A0B4KHZ4_DROME,Cytoplasm,Nuclear export signal,0.6139000058174133,0.4675999879837036,0.017899999395012856,0.32170000672340393,0.2249000072479248,0.007000000216066837,0.3352000117301941,0.25940001010894775,0.38670000433921814,0.01889999955892563
tr|A0A1L4AAC2|A0A1L4AAC2_DROME,Cell membrane,Signal peptide|Transmembrane domain,0.16089999675750732,0.1023000031709671,0.25060001015663147,0.8859000205993652,0.07720000296831131,0.013100000098347664,0.314300000667572,0.36899998784065247,0.40779998898506165,0.017000000923871994
tr|A0A1Z1CGZ7|A0A1Z1CGZ7_DROME,Extracellular,Signal peptide,0.3109000027179718,0.07590000331401825,0.7788000106811523,0.18889999389648438,0.2176000028848648,0.15950000286102295,0.11460000276565552,0.2045000046491623,0.1388999968767166,0.015799999237060547
tr|A0A1Z1CLY5|A0A1Z1CLY5_DROME,Cytoplasm|Nucleus,,0.5486000180244446,0.5863000154495239,0.23440000414848328,0.16830000281333923,0.4059000015258789,0.021900000050663948,0.12960000336170197,0.1858000010251999,0.2020999938249588,0.019099999219179153
tr|A0A6M3Q6L8|A0A6M3Q6L8_DROME,Cytoplasm|Nucleus,Nuclear localization signal,0.607699990272522,0.650600016117096,0.05570000037550926,0.07119999825954437,0.06689999997615814,0.004000000189989805,0.07109999656677246,0.02070000022649765,0.02410000003874302,0.003000000026077032
tr|A0A6M3Q7Q6|A0A6M3Q7Q6_DROME,Extracellular,Signal peptide,0.16290000081062317,0.08829999715089798,0.8059999942779541,0.20640000700950623,0.02969999983906746,0.029999999329447746,0.36550000309944153,0.3319999873638153,0.17800000309944153,0.006000000052154064
